"","b1","b2","b3","b4","b5","b6.1","b6.2","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24.1","b24.2","b25","b26","b27","b28","b29","b30","b31","b32"
"44",1,1,1,1,0,0,2,1,1,3,1,0,1,1,0,1,2,2,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0
"45",1,1,1,1,0,0,2,2,1,3,0,1,1,1,1,1,2,2,0,0,2,1,0,1,0,0,1,1,1,1,1,1,1,0
"46",1,1,1,0,0,0,2,4,1,3,1,1,1,1,1,1,2,2,0,1,2,1,1,1,0,0,1,1,1,1,3,1,0,1
"47",1,0,0,1,1,0,2,4,1,3,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,1,3,3,1,1,1
"48",2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,2,0,0,2,0,0,0,0,0,1,1,0,4,0,1,1,0
"49",1,1,1,1,0,0,2,2,1,3,0,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,1,1,1,3,3,1,1,0
"50",0,1,0,1,1,0,1,1,1,3,0,0,1,1,0,1,1,2,1,1,0,0,1,1,1,1,1,1,1,4,3,1,1,1
"51",1,1,1,1,1,0,1,4,1,3,2,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1
"52",1,0,1,1,1,0,2,4,1,0,0,0,1,0,1,0,1,2,1,0,0,1,0,1,0,0,0,0,1,2,2,1,1,0
"53",0,1,1,1,0,0,0,2,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,3,1,0,1,0
"54",1,1,0,0,0,0,1,4,1,3,1,1,1,0,0,1,2,2,1,1,2,1,0,1,1,1,1,0,1,4,3,1,1,0
"55",1,1,0,0,0,0,2,3,1,0,1,0,1,1,1,1,2,2,1,1,2,1,1,1,0,0,0,1,1,2,1,0,1,0
"56",2,1,1,1,1,0,0,2,1,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,1,0,1,1,3,0,0,1,0
"57",0,0,0,1,0,0,0,0,0,3,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"58",1,1,1,1,1,0,2,4,1,3,0,1,1,1,0,1,2,2,1,1,0,1,0,0,1,1,1,1,1,4,2,1,1,1
"59",2,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,2,2,1,1,2,1,0,1,0,0,1,1,1,4,3,1,1,1
"60",2,1,0,1,1,0,2,4,1,3,2,1,1,1,1,0,2,2,1,1,1,1,1,0,0,0,1,1,1,4,2,1,1,1
"61",0,1,1,1,0,1,2,4,1,0,0,1,1,0,0,1,2,2,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0
"62",2,1,0,1,1,1,1,3,1,3,0,1,1,1,1,1,2,2,1,1,2,1,1,1,0,0,1,1,1,4,3,1,1,1
"63",2,1,1,0,1,0,2,2,1,3,2,1,0,1,1,1,1,2,1,1,2,1,1,1,0,0,1,0,1,2,2,1,1,0
"64",1,0,0,1,0,0,2,1,0,3,1,1,1,0,1,1,1,2,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
"65",1,1,1,1,1,1,2,3,1,3,2,1,1,1,1,1,2,2,0,1,2,1,1,1,1,1,1,1,1,3,3,1,1,1
"66",2,0,1,1,0,0,0,4,1,3,0,1,1,1,0,1,1,2,0,0,1,0,0,1,0,0,0,1,1,1,2,0,0,0
"67",2,0,1,1,1,1,0,2,1,3,1,1,1,1,1,1,1,1,0,0,2,0,1,1,1,1,1,0,1,0,2,1,1,0
